run,size,generator,sort,time,comparisons,pointer_changes
7,2048,Reverse,Insertion Sort,0.025000,2047,6141
7,2048,Reverse,Merge Sort,0.001000,11264,17408
7,2048,Almost Sorted,Insertion Sort,0.051000,1867249,6111
7,2048,Almost Sorted,Merge Sort,0.001000,18202,24346
7,4096,Random,Insertion Sort,0.186000,4223283,12150
7,4096,Random,Merge Sort,0.005000,43925,56213
7,4096,Sorted,Insertion Sort,0.101000,8386560,0
7,4096,Sorted,Merge Sort,0.003000,24576,36864
7,4096,Reverse,Insertion Sort,0.092000,4095,12285
7,4096,Reverse,Merge Sort,0.002000,24576,36864
7,4096,Almost Sorted,Insertion Sort,0.178000,7768644,12270
7,4096,Almost Sorted,Merge Sort,0.002000,40657,52945
7,8192,Random,Insertion Sort,0.956000,16770952,24309
7,8192,Random,Merge Sort,0.006000,95996,120572
7,8192,Sorted,Insertion Sort,0.436000,33550336,0
7,8192,Sorted,Merge Sort,0.004000,53248,77824
7,8192,Reverse,Insertion Sort,0.359000,8191,24573
7,8192,Reverse,Merge Sort,0.005000,53248,77824
7,8192,Almost Sorted,Insertion Sort,0.882000,31115583,24510
7,8192,Almost Sorted,Merge Sort,0.007000,89419,113995
7,16384,Random,Insertion Sort,5.775000,68173052,48642
7,16384,Random,Merge Sort,0.014000,208303,257455
7,16384,Sorted,Insertion Sort,2.082000,134209536,0
7,16384,Sorted,Merge Sort,0.011000,114688,163840
7,16384,Reverse,Insertion Sort,2.024000,16383,49149
7,16384,Reverse,Merge Sort,0.010000,114688,163840
7,16384,Almost Sorted,Insertion Sort,4.678000,121465570,49098
7,16384,Almost Sorted,Merge Sort,0.013000,196565,245717
7,32768,Random,Insertion Sort,32.931000,272453361,97263
7,32768,Random,Merge Sort,0.033000,448944,547248
7,32768,Sorted,Insertion Sort,8.674000,536854528,0
7,32768,Sorted,Merge Sort,0.022000,245760,344064
7,32768,Reverse,Insertion Sort,9.044000,32767,98301
7,32768,Reverse,Merge Sort,0.021000,245760,344064
7,32768,Almost Sorted,Insertion Sort,28.870000,475765273,98229
7,32768,Almost Sorted,Merge Sort,0.028000,425915,524219
8,1024,Random,Insertion Sort,0.009000,268566,3033
8,1024,Random,Merge Sort,0.001000,8946,12018
8,1024,Sorted,Insertion Sort,0.007000,523776,0
8,1024,Sorted,Merge Sort,0.000000,5120,8192
8,1024,Reverse,Insertion Sort,0.006000,1023,3069
8,1024,Reverse,Merge Sort,0.002000,5120,8192
8,1024,Almost Sorted,Insertion Sort,0.013000,486863,3018
8,1024,Almost Sorted,Merge Sort,0.001000,7959,11031
8,2048,Random,Insertion Sort,0.047000,1031045,6060
8,2048,Random,Merge Sort,0.001000,19913,26057
8,2048,Sorted,Insertion Sort,0.029000,2096128,0
8,2048,Sorted,Merge Sort,0.000000,11264,17408
8,2048,Reverse,Insertion Sort,0.026000,2047,6141
8,2048,Reverse,Merge Sort,0.001000,11264,17408
8,2048,Almost Sorted,Insertion Sort,0.072000,1863783,6123
8,2048,Almost Sorted,Merge Sort,0.001000,18019,24163
8,4096,Random,Insertion Sort,0.223000,4240700,12156
8,4096,Random,Merge Sort,0.004000,43920,56208
8,4096,Sorted,Insertion Sort,0.182000,8386560,0
8,4096,Sorted,Merge Sort,0.005000,24576,36864
8,4096,Reverse,Insertion Sort,0.077000,4095,12285
8,4096,Reverse,Merge Sort,0.002000,24576,36864
8,4096,Almost Sorted,Insertion Sort,0.194000,7649371,12183
8,4096,Almost Sorted,Merge Sort,0.002000,41082,53370
8,8192,Random,Insertion Sort,0.780000,16874713,24318
8,8192,Random,Merge Sort,0.006000,96052,120628
8,8192,Sorted,Insertion Sort,0.374000,33550336,0
8,8192,Sorted,Merge Sort,0.003000,53248,77824
8,8192,Reverse,Insertion Sort,0.457000,8191,24573
8,8192,Reverse,Merge Sort,0.012000,53248,77824
8,8192,Almost Sorted,Insertion Sort,1.041000,31396053,24402
8,8192,Almost Sorted,Merge Sort,0.010000,86915,111491
8,16384,Random,Insertion Sort,7.747000,67681567,48717
8,16384,Random,Merge Sort,0.013000,208229,257381
8,16384,Sorted,Insertion Sort,2.504000,134209536,0
8,16384,Sorted,Merge Sort,0.010000,114688,163840
8,16384,Reverse,Insertion Sort,2.199000,16383,49149
8,16384,Reverse,Merge Sort,0.012000,114688,163840
8,16384,Almost Sorted,Insertion Sort,6.556000,118505423,49059
8,16384,Almost Sorted,Merge Sort,0.020000,191357,240509
8,32768,Random,Insertion Sort,56.337000,270283023,97305
8,32768,Random,Merge Sort,0.038000,449346,547650
8,32768,Sorted,Insertion Sort,8.225000,536854528,0
8,32768,Sorted,Merge Sort,0.026000,245760,344064
8,32768,Reverse,Insertion Sort,10.364000,32767,98301
8,32768,Reverse,Merge Sort,0.027000,245760,344064
8,32768,Almost Sorted,Insertion Sort,25.276000,480289446,98205
8,32768,Almost Sorted,Merge Sort,0.030000,420015,518319
9,1024,Random,Insertion Sort,0.011000,263247,3033
9,1024,Random,Merge Sort,0.001000,8945,12017
9,1024,Sorted,Insertion Sort,0.008000,523776,0
9,1024,Sorted,Merge Sort,0.000000,5120,8192
9,1024,Reverse,Insertion Sort,0.007000,1023,3069
9,1024,Reverse,Merge Sort,0.000000,5120,8192
9,1024,Almost Sorted,Insertion Sort,0.013000,474324,3009
9,1024,Almost Sorted,Merge Sort,0.001000,8121,11193
9,2048,Random,Insertion Sort,0.051000,1054348,6084
9,2048,Random,Merge Sort,0.001000,19911,26055
9,2048,Sorted,Insertion Sort,0.025000,2096128,0
9,2048,Sorted,Merge Sort,0.001000,11264,17408
9,2048,Reverse,Insertion Sort,0.026000,2047,6141
9,2048,Reverse,Merge Sort,0.000000,11264,17408
9,2048,Almost Sorted,Insertion Sort,0.056000,1892369,6069
9,2048,Almost Sorted,Merge Sort,0.001000,17905,24049
9,4096,Random,Insertion Sort,0.200000,4243584,12165
9,4096,Random,Merge Sort,0.004000,43944,56232
9,4096,Sorted,Insertion Sort,0.105000,8386560,0
9,4096,Sorted,Merge Sort,0.002000,24576,36864
9,4096,Reverse,Insertion Sort,0.098000,4095,12285
9,4096,Reverse,Merge Sort,0.002000,24576,36864
9,4096,Almost Sorted,Insertion Sort,0.221000,7544367,12261
9,4096,Almost Sorted,Merge Sort,0.002000,40916,53204
9,8192,Random,Insertion Sort,0.936000,16824923,24300
9,8192,Random,Merge Sort,0.007000,96033,120609
9,8192,Sorted,Insertion Sort,0.529000,33550336,0
9,8192,Sorted,Merge Sort,0.004000,53248,77824
9,8192,Reverse,Insertion Sort,0.479000,8191,24573
9,8192,Reverse,Merge Sort,0.005000,53248,77824
9,8192,Almost Sorted,Insertion Sort,0.968000,31099166,24483
9,8192,Almost Sorted,Merge Sort,0.004000,90053,114629
9,16384,Random,Insertion Sort,5.804000,67562537,48693
9,16384,Random,Merge Sort,0.013000,208417,257569
9,16384,Sorted,Insertion Sort,2.144000,134209536,0
9,16384,Sorted,Merge Sort,0.009000,114688,163840
9,16384,Reverse,Insertion Sort,2.178000,16383,49149
9,16384,Reverse,Merge Sort,0.008000,114688,163840
9,16384,Almost Sorted,Insertion Sort,4.443000,125555511,49104
9,16384,Almost Sorted,Merge Sort,0.010000,193235,242387
9,32768,Random,Insertion Sort,34.190000,272069345,97233
9,32768,Random,Merge Sort,0.034000,449086,547390
9,32768,Sorted,Insertion Sort,9.474000,536854528,0
9,32768,Sorted,Merge Sort,0.020000,245760,344064
9,32768,Reverse,Insertion Sort,10.839000,32767,98301
9,32768,Reverse,Merge Sort,0.019000,245760,344064
9,32768,Almost Sorted,Insertion Sort,38.065000,475377791,98259
9,32768,Almost Sorted,Merge Sort,0.026000,428997,527301
10,1024,Random,Insertion Sort,0.011000,271588,3027
10,1024,Random,Merge Sort,0.001000,8937,12009
10,1024,Sorted,Insertion Sort,0.006000,523776,0
10,1024,Sorted,Merge Sort,0.001000,5120,8192
10,1024,Reverse,Insertion Sort,0.007000,1023,3069
10,1024,Reverse,Merge Sort,0.001000,5120,8192
10,1024,Almost Sorted,Insertion Sort,0.012000,485329,3054
10,1024,Almost Sorted,Merge Sort,0.001000,8155,11227
10,2048,Random,Insertion Sort,0.045000,1080114,6078
10,2048,Random,Merge Sort,0.002000,19958,26102
10,2048,Sorted,Insertion Sort,0.026000,2096128,0
10,2048,Sorted,Merge Sort,0.001000,11264,17408
10,2048,Reverse,Insertion Sort,0.026000,2047,6141
10,2048,Reverse,Merge Sort,0.002000,11264,17408
10,2048,Almost Sorted,Insertion Sort,0.051000,1918841,6114
10,2048,Almost Sorted,Merge Sort,0.001000,18471,24615
10,4096,Random,Insertion Sort,0.211000,4170217,12159
10,4096,Random,Merge Sort,0.003000,43888,56176
10,4096,Sorted,Insertion Sort,0.105000,8386560,0
10,4096,Sorted,Merge Sort,0.002000,24576,36864
10,4096,Reverse,Insertion Sort,0.096000,4095,12285
10,4096,Reverse,Merge Sort,0.002000,24576,36864
10,4096,Almost Sorted,Insertion Sort,0.203000,7493868,12228
10,4096,Almost Sorted,Merge Sort,0.002000,41120,53408
10,8192,Random,Insertion Sort,0.993000,17105439,24342
10,8192,Random,Merge Sort,0.009000,95973,120549
10,8192,Sorted,Insertion Sort,0.481000,33550336,0
10,8192,Sorted,Merge Sort,0.005000,53248,77824
10,8192,Reverse,Insertion Sort,0.472000,8191,24573
10,8192,Reverse,Merge Sort,0.003000,53248,77824
10,8192,Almost Sorted,Insertion Sort,1.182000,29736062,24525
10,8192,Almost Sorted,Merge Sort,0.007000,87413,111989
10,16384,Random,Insertion Sort,6.633000,67238546,48648
10,16384,Random,Merge Sort,0.012000,208246,257398
10,16384,Sorted,Insertion Sort,2.329000,134209536,0
10,16384,Sorted,Merge Sort,0.009000,114688,163840
10,16384,Reverse,Insertion Sort,2.278000,16383,49149
10,16384,Reverse,Merge Sort,0.011000,114688,163840
10,16384,Almost Sorted,Insertion Sort,5.612000,118477343,49083
10,16384,Almost Sorted,Merge Sort,0.011000,196287,245439
10,32768,Random,Insertion Sort,29.218000,271261603,97266
10,32768,Random,Merge Sort,0.029000,449314,547618
10,32768,Sorted,Insertion Sort,9.127000,536854528,0
10,32768,Sorted,Merge Sort,0.019000,245760,344064
10,32768,Reverse,Insertion Sort,8.416000,32767,98301
10,32768,Reverse,Merge Sort,0.017000,245760,344064
10,32768,Almost Sorted,Insertion Sort,19.539000,497585059,98241
